prompt,completion
cure,"治 cure
 (waterleft) + 台 (big thing counter)
★★★★☆
8 strokes
DUPE
Onyomi
CHI or JI	
Mnemonic
JESUS cured the big thing by giving it water and magic CHEese.

Kunyomi
( を ) なお＊す	I cure a disease or health problem 　(BOOBOO: if you want to fix an object, use the OTHER なおす kanji : 直す）
★☆☆☆☆
( が ) なお＊る	it gets cured (ditto!)
★☆☆☆☆
( が ) おさ＊める	to rule over someone, to govern something (THIS one is easy because, you CAN'T use the other ""naosu"" kanji,　直す！）
★☆☆☆☆
Jukugo
政治せいじ	
politics ★★★★☆ FR
政 (politics) + 治 (cure) = 政治 (politics)

politics. (FR：literally ""administer and cure"",which is a bit of a laugh)

治癒ちゆ	
healing ☆☆☆☆☆
治 (cure) + 癒 (cure) = 治癒 (healing)

healing in general : (the healing process / an unhealed wound / taking too long to heal)

治療ちりょう	
therapy ☆☆☆☆☆
治 (cure) + 療 (medical therapy) = 治療 (therapy)

medical therapy - for instance, cancer 治療 would be chemo. Unlike the related term 医療　（いりょう）、治療 refers to ongoing, repeated-once-a-day/week processes for specific illnesses)

Synonyms
control or govern
支配    操作    治める    操縦   
cure
直す    治す   
heal
治す    が癒える    を癒やす    治癒    治療    医療    手当て   "
begin,"始 begin
女 (woman) + 台 (big thing counter)
★★★★☆
8 strokes
DUPESOLO
Onyomi
SHI	
Mnemonic
I've just begun to date a car-sized woman, and SHE is amazing.

Kunyomi
( を ) はじ＊める	I begin to (take apart your lego portrait of Pee Wee Herman)
★★★★☆
( が」 ) はじ＊まる	something has begun
★★★★☆
はじ＊め ( に )	in the beginning. . . first of all. . .
★★★★☆
Synonyms
always
いつも たえず のべつ いつでも 始終    必ず    常に    だいぶ 頻繁   
begin
始める    初めて    始まる   
start, begin
初めて    最初    初めに    開始    始める"
lazy,"怠 lazy
台 (big thing counter) Same-ON +  (bottomheart)
★☆☆☆☆
9 strokes
SOLO
Onyomi
TAI	
Mnemonic
THAI people are not lazy, they have big hearts - the size of TVs! Or even cars!

Kunyomi

☆☆☆☆☆
( が ) なま＊ける	to be lazy, to flop around and not do shit with your sorry stoner-ass life.
★★☆☆☆
( を ) おこた＊る	to neglect something - like you were cooking, then you got all stoked on playing Mario and now your pie burned to a crisp.
★☆☆☆☆
Jukugo
怠け者なまけもの	
sloth ★★☆☆☆ NEO
怠 (lazy) + 者 (professional) = 怠け者 (sloth )

sloth - a lazy person, as well as a fairly lazy transliteration for ""sloth, the animal.""

Lookalikes
Meaning	Hint	Radical
窓	window	HOLE	穴
怠	lazy	MOUTH	口
A window is a HOLE in the side of a house.

A lazy person just sits around shoveling food in your MOUTH.

Synonyms
neglect
を　怠る    放置    怠慢    なげやり 中東半端    サボル"
talent,"能 talent
ム (moocow) + 月 (moon/organ) + 比 (compare)
★★★☆☆
10 strokes
BETA
Onyomi
NOU	
Mnemonic
Compared to the other moo-cows' performance last month, your moocow has NO talent.

Jukugo
芸能界げいのうかい	
showbiz ★★★☆☆
芸 (art) + 能 (talent) + 界 (the world) = 芸能界 (showbiz)

性能せいのう	
capability ★★★☆☆
性 (sex / essential nature) + 能 (talent) = 性能 (capability)

capability (of a machine) i.e. ""The new iphone has more 性能 than a regular keitai.""

才能さいのう のある　/ のない	
talent ★★☆☆☆
才 (skill / age) + 能 (talent) = 才能 (talent)

talent, skill of a person

能力のうりょく	
capability ★☆☆☆☆
能 (talent) + 力 (strong) = 能力 (capability)

capability (i.e. this computer has the capability to burn DVDs)

Used In
熊 態
Synonyms
capability, talent
性能    才能    能力   
chance
機会    きっかけ 可能   "
bear,"熊 bear
能 (talent) +  (firebottom)
★★☆☆☆
14 strokes
SOLO
Onyomi
Mnemonic
His talent is to light bears on fire. (Really there is no other way to describe it: He is the fucking Van Gogh of ursine immolation.)



Kunyomi
くま	a bear
★★☆☆☆
Jukugo
熊系くまけい	
gay-ass bear ★☆☆☆☆ NEO
熊 (bear) + 系 (group, tribe) = 熊系 (gay-ass bear)

lit. 'bear tribe' - a gay man who's kind of chubby and furry and lumberjack-looking

Lookalikes
Meaning	Hint	Radical
熊	bear	FIRE	火
態	looks like	HEART	心
The bear is ON FIRE,

but you look like my HEART's desire"
looks like,"態 looks like
能 (talent) +  (bottomheart)
★★★★☆
14 strokes
BETA
Onyomi
TAI	
Mnemonic
The THAI prostitute looks like she has a lot of talent and a heart of gold. (FYI: Not. Stupid farang!)

Jukugo
変態へんたい	
perv ★★★★☆
変 (change) + 態 (looks like) = 変態 (perv)

What your brother and sister call you when they catch you peeking in the bathroom while they're doing it in the toilet.

態度たいど	
attitude/ stance ★★★★☆
態 (looks like) + 度 (times) = 態度 (attitude/ stance)

an attitude/manner (defiant, peaceful, etc.) or stance (anti-trade, pro-shinto, anti-corporate). When it comes to the first meaning, 態度 is something you can tell just by looking at the person - they might not be doing it intentionally.

状態じょうたい	
state ★★★☆☆
状 (circumstance) + 態 (looks like) = 状態 (state)

the state or status of something: water is the liquid state of h20, but ice is the solid state. State of shock. Pristine state. Also can mean the state of affairs : good, bad, deadlocked, deteroriorating, improving.

擬態語ぎたいご	
emotional sound-effect ★☆☆☆☆ 1/2 KANA
擬 (sham) + 態 (looks like) + 語 (language) = 擬態語 (emotional sound-effect)

擬態語 is a　very Japanese concept - a sound effect for something that doesn't make noise - usually emotional states. The only English example of 擬態語 I can think of is ' bling.'

Lookalikes
Meaning	Hint	Radical
熊	bear	FIRE	火
態	looks like	HEART	心
The bear is ON FIRE,

but you look like my HEART's desire.

Synonyms
behavior/ action
態度    姿勢    行動    行為   
condition or context
状況    事態    事情    状態    様子    調子    具合   "
Buddha,"仏 Buddha
 (personleft) + ム (moocow)
★★☆☆☆
4 strokes
Onyomi
BUTSU	
Buddha pulls his BOOTS UP and walks off to enlighten the world.

Mnemonic
Buddha is a person having a very deep theological argument with a Hindu Sacred Cow :

""What is the sound of one hand clapping?""

""moo.""

""Fuck! I thought I had him . . .""

Kunyomi
ほとけ	Buddha
★★☆☆☆
Jukugo
仏教ぶっきょう	
Buddhism ★★☆☆☆
仏 (Buddha) + 教 (teach) = 仏教 (Buddhism)

大仏だいぶつ	
giant-ass statue of buddha. ★☆☆☆☆ KUNKUN
大 (big) + 仏 (Buddha) = 大仏 (giant-ass statue of buddha.)

のど仏のどぼとけ	
adam's apple ☆☆☆☆☆ SARCFR

adam's apple- literally ""throat buddha""!

Lookalikes
Meaning	Hint	Radical
仏	Buddha	PERSON	人
私	me / private	WHEAT	
拡	to expand	WIDE	広
払	pay	HAND	手
Buddha is a PERSON.

I myself cut the WHEAT.

You enlarge something by making it WIDER.

I use my HAND to pay."
standing worms," standing worms
(bottom radical)
PK
Two worms, standing up from a horizontal line, representing the ground.

Used In
立 豆 並 前"
stand up,"立 stand up
 (beret) +  (standing worms)
★★★★☆
5 strokes
Onyomi
RITSU	
Stand up and get me some RITZ crackers, you lazy sod.

Mnemonic
OK. it looks like a pot. With a lid. Everybody says that. But it means ""stand up,"" so deal.

Here is a way to make this marginally acceptable:

Two worms stand up from the ground, holding the beret aloft.

Kunyomi
( を ) た＊てる	Something stands up; something is set up.
★★★★★
( が ) た＊つ	I stand up
★★★★★
Jukugo
目立つめだつ	
to stand out in a crowd. ★★★☆☆
目 (eye) + 立 (stand up) = 目立つ (to stand out in a crowd.)

自立じりつ	
independence ★★★☆☆
自 (my own) + 立 (stand up) = 自立 (independence)

sometimes translated as 'independence'、自立 is more an attitude of self-reliance. A kid who gets a job, moves out of her parents' house, who does things for herself.

役に立つやくにたつ	
to work like it's supposed to ★★★☆☆
役 (role) + 立 (stand up) = 役に立つ (to work like it's supposed to)

to be useful, to work like it's supposed to (used about things, not humans)

腹が立つはらがたつ	
get mad ★★★☆☆
腹 (entrails) + 立 (stand up) = 腹が立つ (get mad )

県立けんりつ の	
prefectural ★☆☆☆☆
県 (prefecture) + 立 (stand up) = 県立 (prefectural)

prefectural (hospital, capital, etc.)

Used In
童 翌 辛 泣 位 章 音 接 新 粒 境 競 帝 産 顔 竜 端 商 鏡 龍    親
Synonyms
carry out /put into effect
実戦    行う    設ける    制定    実施    創立    成立   
composition, organization, structure
構成    構造    組成    成り立ってる    成立   
establish or found
設ける    設定する    設立する   
great, magnificent
上手    うまい 素敵    立派    素晴らしい    見事   
helpful, convenient
役に立つ    便利    都合がいい   
point of view
立場    見方    味方    世界観    彼にして見ればxxx   
self-reliance
自立    独立   "
spicy / painful,"立 stand up
 (beret) +  (standing worms)
★★★★☆
5 strokes
Onyomi
RITSU	
Stand up and get me some RITZ crackers, you lazy sod.

Mnemonic
OK. it looks like a pot. With a lid. Everybody says that. But it means ""stand up,"" so deal.

Here is a way to make this marginally acceptable:

Two worms stand up from the ground, holding the beret aloft.

Kunyomi
( を ) た＊てる	Something stands up; something is set up.
★★★★★
( が ) た＊つ	I stand up
★★★★★
Jukugo
目立つめだつ	
to stand out in a crowd. ★★★☆☆
目 (eye) + 立 (stand up) = 目立つ (to stand out in a crowd.)

自立じりつ	
independence ★★★☆☆
自 (my own) + 立 (stand up) = 自立 (independence)

sometimes translated as 'independence'、自立 is more an attitude of self-reliance. A kid who gets a job, moves out of her parents' house, who does things for herself.

役に立つやくにたつ	
to work like it's supposed to ★★★☆☆
役 (role) + 立 (stand up) = 役に立つ (to work like it's supposed to)

to be useful, to work like it's supposed to (used about things, not humans)

腹が立つはらがたつ	
get mad ★★★☆☆
腹 (entrails) + 立 (stand up) = 腹が立つ (get mad )

県立けんりつ の	
prefectural ★☆☆☆☆
県 (prefecture) + 立 (stand up) = 県立 (prefectural)

prefectural (hospital, capital, etc.)

Used In
童 翌 辛 泣 位 章 音 接 新 粒 境 競 帝 産 顔 竜 端 商 鏡 龍    親
Synonyms
carry out /put into effect
実戦    行う    設ける    制定    実施    創立    成立   
composition, organization, structure
構成    構造    組成    成り立ってる    成立   
establish or found
設ける    設定する    設立する   
great, magnificent
上手    うまい 素敵    立派    素晴らしい    見事   
helpful, convenient
役に立つ    便利    都合がいい   
point of view
立場    見方    味方    世界観    彼にして見ればxxx   
self-reliance
自立    独立   "
"luck, happiness","幸 luck, happiness
辛 (spicy / painful) + 十 (ten)
★★★★☆
8 strokes
PN
Onyomi
KOU	
Mnemonic
spicy 〔辛)+ one more line on top, forming the kanji for TEN.(十)
So you could say, ""COcaine brings ten times as much happiness as hot spices.""

Kunyomi
しあわ*せ	happiness KANA
★★★★☆
さいわ*い ( にｘｘｘ )	fortunately, XXX
★★☆☆☆
Jukugo
幸運こううん に	
good luck ★★★☆☆
幸 (luck, happiness) + 運 (carry / luck) = 幸運 (good luck)

luckily, xxxx. Or, 'good luck' (good luck learning all these bastards!)

不幸ふこう な	
bad luck; unfortunately ★★☆☆☆
不 (un) + 幸 (luck, happiness) = 不幸 (bad luck; unfortunately)

Lookalikes
Meaning	Hint	Radical
辛	spicy / painful	NO TEN	
幸	luck, happiness	TEN	十
宰	manager	CROWN	
Luck has a TEN on top, spicy does NOT. So you can say,

Good luck will bring you TEN TIMES AS MUCH happiness as good spices .

The man with the CROWN manages the country.

Used In
執 達 報
Synonyms
luck
運    幸    幸運    幸福  "
manager,"宰 manager
辛 (spicy / painful) +  (crown)
★☆☆☆☆
10 strokes
SIDEKICK
Onyomi
SAI	
the manager SIGHed as the employees stole.

Mnemonic
The manager of the Indian restaurant wore a crown made entirely out of spices!!

Jukugo
主宰しゅさい する	
preside over ★☆☆☆☆ NP
主 (master/mainly) + 宰 (manager) = 主宰 (preside over)

preside over, or head something temporary. (not a corporation or university, but maybe an event or comittee that a corporation or university would hold)

Lookalikes
Meaning	Hint	Radical
辛	spicy / painful	NO TEN	
幸	luck, happiness	TEN	十
宰	manager	CROWN	
Luck has a TEN on top, spicy does NOT. So you can say,

Good luck will bring you TEN TIMES AS MUCH happiness as good spices .

The man with the CROWN manages the country."
cry,"泣 cry
 (waterleft) + 立 (stand up)
★★★☆☆
8 strokes
Onyomi
KYUU	
Mnemonic
The CUTE girl was stood up by a dude, and cried big wet tears.

Kunyomi
な*く	to cry
★★★★★
Jukugo
泣き虫なきむし	
crybaby ★★☆☆☆
泣 (cry) + 虫 (insizzect) = 泣き虫 (crybaby)
"
rank,"位 rank
 (personleft) + 立 (stand up)
★★☆☆☆
7 strokes
Onyomi
I	
as in, ""Because of all the dick jokes in this book, I got the worst rank in the ""nihongo textbook competition.""

Mnemonic
The person stands in line according to their rank- top ranked people in front, losers in back.

Kunyomi
くらい	rank or position
★★☆☆☆
Jukugo
どの位どのくらい	
how much, how many, for how long? ★★★☆☆ KANA

一位いちい の	
first-ranked ★★☆☆☆
一 (one) + 位 (rank) = 一位 (first-ranked)

位置いち してる	
geographic location ★★☆☆☆
位 (rank) + 置 (put down on table) = 位置 (geographic location)

be located at a certain spot (as in, the 7-11 is located north of the mountains but south of the sea)

単位たんい	
unit ★☆☆☆☆
単 (merely) + 位 (rank) = 単位 (unit)

denomination or unit (college credit, but also centimeter or pound)

Synonyms
sequences, ranking
第    位    成績    序列    成績   "
sound,"音 sound
立 (stand up) + 日 (sun, day)
★★★★★
9 strokes
PN
Onyomi
ON	
Mnemonic
A dude makes a loud sound, if he's standing ON top of the sun . It goes like AIEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE.

Kunyomi
おと	sound
★★★★★
Jukugo
音楽おんがく	
music! ★★★★★
音 (sound) + 楽 (enjoy) = 音楽 (music!)

発音はつおん	
pronunciation of a word ★★★★☆
発 (launch) + 音 (sound) = 発音 (pronunciation of a word)

音読みおんよみ	
The kanji pronunciation one uses in compound words. ★★★☆☆
音 (sound) + 読 (read) = 音読み (The kanji pronunciation one uses in compound words.)

yep.

擬音語ぎおんご	
Onomatopoeia! ★☆☆☆☆ 1/2 KANA
擬 (sham) + 音 (sound) + 語 (language) = 擬音語 (Onomatopoeia!)

Onomatopoeia!!!! Sound-effect words. in English, that means words like 'slap' 'smack' or 'splash.'

Used In
暗 意 闇 響
Synonyms
noise
騒音    雑音   "
emblem / chapter,"章 emblem / chapter
立 (stand up) + 早 (early)
★★☆☆☆
11 strokes
JERKBETAPN
JERK (it literally means 'badge or emblem' but usually is used in the context of 'sentence' or 'chapter.')
Onyomi
SHOU	
Mnemonic
Stand up fast and SHOW me your badge.

Jukugo
文章ぶんしょう	
sentence ★★☆☆☆
文 (culture/ sentence) + 章 (emblem / chapter) = 文章 (sentence)

第7章だいななしょう	
chapter 7 ★★☆☆☆
第 (rank or number in series) + 章 (emblem / chapter) = 第7章 (chapter 7)

腕章わんしょう	
armband ★☆☆☆☆
腕 (arm / skill) + 章 (emblem / chapter) = 腕章 (armband)

armband. Anytime you see an unemployed grand-dad with an armband, you can be sure he will poke his nose in someone's business and try to wreck their fun:""No smoking!"" ""No bicycle parking!"" ""No hammocks!""

Lookalikes
Meaning	Hint	Radical
童	kid	VILLAGE	里
章	emblem / chapter	EARLY	早
The kid is from the VILLAGE,

so he got his badge EARLY.

(it's the village where they make the badges, I guess. Who knows at this point)

Used In
障"
dark,"暗 dark
日 (sun, day) + 音 (sound)
★★★★☆
13 strokes
Onyomi
AN	
Mnemonic
ANN Coulter with the sunny blonde hair, can't stand the sounds made by the darker ethnic groups.

Kunyomi
くら*い	dark
★★★★★
Jukugo
暗記あんき	
memorize ★★☆☆☆
暗 (dark) + 記 (diary) = 暗記 (memorize)

暗殺あんさつ	
assassination ★☆☆☆☆
暗 (dark) + 殺 (kill) = 暗殺 (assassination)

暗証番号あんしょう ばんごう	
secret code number ★☆☆☆☆
暗 (dark) + 証 (proof) + 番号 (number) = 暗証番号 (secret code number)

your secret PIN number you use when you go to the ATM. This is different from a password you use on the internet - that's パスワード。

Lookalikes
Meaning	Hint	Radical
暗	dark	STAND	立
晴	weather get good now	MASTER	主
Ghosts STAND UP in the dark and start to move.

But MASTER commands the weather to improve

Synonyms
sign, symbol, mark
標識    記号    象徴    印    符号    暗号   "
meaning,"意 meaning
音 (sound) +  (bottomheart)
★★★★★
13 strokes
BETA
Onyomi
I	
Mnemonic
I believe that the sound of my heart means I am alive.

Jukugo
意味いみ	
meaning ★★★★★
意 (meaning) + 味 (flavor) = 意味 (meaning)

意見いけん	
opinion ★★★★★
意 (meaning) + 見 (look) = 意見 (opinion)

に 注意ちゅうい する	
be careful! ★★★★☆
注 (pour / be careful) + 意 (meaning) = 注意 (be careful!)

be careful! caution! (when used as a 'suru' verb, it means, 'to warn')

意識いしき のある	
awareness ★★☆☆☆
意 (meaning) + 識 (be conscious) = 意識 (awareness)

to have an awareness or be conscious of something- women are conscious of potential rapists in an everyday, peripheral way that men are not. Hippies are environmentally conscious. That's ishiki.

Used In
億 憶
Synonyms
admonish　/warning
注意    責める    警告    忠告    助言    警戒    諭す    告げる    窘める   
agree
賛成    同意   
correspond to
一致    該当    当たる    適応    意味する   
coward
腰抜け    意気地なし    卑怯な   
dangerous
険悪    物騒    うさんくさい 気味悪い    危ない    意地汚い   
greedy
貪欲    欲張り    意地汚い   
guts
闘志    根性    意地   
idea, notion
意識    観念    現象   
interpretation
感想    意見    印象    解釈   
motive
目的    動機    目標    狙い    的    意図    xxx目当て   
prepare
手配    用意    準備    備える    xxxしておく 覚悟    構える   
self aware, self conscious
意識    てれる 自覚   
unexpected, chance, coincidence
偶然    意外    案外   
wish
希望    意思    願い    野心    望み    志す "
a hundred million,"億 a hundred million
 (personleft) + 意 (meaning)
★★☆☆☆
15 strokes
NUBI SUFFIX COUNTER
Remember, like 千 and 万, 億 can't be used by itself - it needs to have an integer in front of it. 一億 is just a UNIT of hundreds of millions. If you want to specifically say ""a hundred million hairs on yo Mama's tongue"" you need to say 一億.
Onyomi
OKU	
100,000,00 ORCS marched against a hobbit.

Mnemonic
That lying-ass person has like 100,000,000 meanings whenever he talks.

Kunyomi
おく	100,000,000 , but be careful -- if you want to say ""one hundred thousand"", you have to put the 'ichi' in front, like so: 一億 ABU
★★★★☆
Jukugo
一億円いちおくえん	
100,000,000 YEN ★★☆☆☆
一 (one) + 億 (a hundred million) + 円 (yen/circle) = 一億円 (100,000,000 YEN)

100,000,000 YEN,　 AKA what Maneki-neko wants!

Lookalikes
Meaning	Hint	Radical
憶	recollect	HEART	心
億	a hundred million	PERSON	人
I recollect every time I got my HEART broken.

Every PERSON wants a hundred million bucks."
recollect,"憶 recollect
 (leftheart) + 意 (meaning)
★★★☆☆
16 strokes
SIDEKICK
Onyomi
OKU	
Mnemonic
My heart will always recollect the meaning of my romance with some ORCS.

Jukugo
記憶きおく	
memory ★★★☆☆
記 (diary) + 憶 (recollect) = 記憶 (memory)

memory. Not a specific one, but like, ""My memory is shot from too much drugs.""

Lookalikes
Meaning	Hint	Radical
憶	recollect	HEART	心
億	a hundred million	PERSON	人
I recollect every time I got my HEART broken.

Every PERSON wants a hundred million bucks.

Synonyms
guess
推測する    推理    察する    xxx/ 推察    推定    推す    憶測   
memory
思い出    記憶   "
gate,"門 gate
★★★☆☆
8 strokes
PKDUH
Onyomi
MON	
Mnemonic
Buddhist MONKS hang out under the temple gate, shooting dice and cussing.

Kunyomi
もん	gate LAZY
★★★☆☆
Jukugo
専門せんもん	
a specialty ★★★★☆
専 (specialty) + 門 (gate) = 専門 (a specialty)

Lookalikes
Meaning	Hint	Radical
門	gate	OPEN	
間	a period of time	DAY	日
問	question, problem	MOUTH	口
Gate has NOTHING IN THE CENTER, IT'S OPEN - so you can walk through it.

There is an interval of one DAY between things, and you ask a question with your MOUTH.

Used In
闇 間 問 聞 関 闘 開 閉 閥"
pitch-black darkness,"闇 pitch-black darkness
門 (gate) + 音 (sound)
★★☆☆☆
17 strokes
SOLO
Onyomi
Mnemonic
It's pitch black so you'll have to use your bat-like echolocation and find the gate using sound.

Kunyomi
やみ	absolute darkness
★★☆☆☆
Lookalikes
Meaning	Hint	Radical
闘	struggle	BEANS	豆
闇	pitch-black darkness	SOUND	音
閥	clique	PERSON	人
BEANS make you struggle with farts, and you hear the SOUND even in a pitch-black room.

Cliques are made of a PERSON or people!"
a period of time,"間 a period of time
門 (gate) + 日 (sun, day)
★★★★★
12 strokes
SUF
Onyomi
KAN	
Mnemonic
It CAN take a period of time of up to a day to go from one gate (門) to the other.

Kunyomi
あいだ	an interval of time - the time between event A and event B.
★★★★★
ま	gate - never used by itself, though. Only in jukugo - sort of like a second ONyomi. (see below!) NUBI
★☆☆☆☆
Jukugo
時間じかん	
time ★★★★★
時 (time) + 間 (a period of time) = 時間 (time)

間違いまちがい	
a mistake ★★★★★ 1/2 KANA
間 (a period of time) + 違 (different and therefore wrong) = 間違い (a mistake)

Verb form; 間違える！

ｘｘｘ 間かん	
xxx amount of time ★★★★★ SUF

xxx amount of time.

You can't just say ""one year"" like in English. You have to add 'kan', the equivalent of saying, in English, 'one year's time.'

for instance:

一年間 (いちねんかん）:one year's time

三週間 (さんしゅうかん）: three weeks' time

With months, it gets even more complex: you have to add 間 at the end AND ヶ (pronounced 'ka') in the middle, like this:

三ヶ月間 (さんかげつかん）: three months' time

人間にんげん	
human ★★★★☆ FP
人 (person) + 間 (a period of time) = 人間 (human)

に 間に合うまにあう	
make it in time ★★★☆☆
間 (a period of time) + 合 (to suit) = 間に合う (make it in time)

to make it in time - catching your train or not being late for class (this is the main time you use the ""MA"" pronunciation)

Lookalikes
Meaning	Hint	Radical
門	gate	OPEN	
間	a period of time	DAY	日
問	question, problem	MOUTH	口
Gate has NOTHING IN THE CENTER, IT'S OPEN - so you can walk through it.

There is an interval of one DAY between things, and you ask a question with your MOUTH.

Used In
簡
Synonyms
crevice
隙間    裂け目   
crotch
また 股ぐら    股間    股上   
differ
異なる    差    食い違い    相違    間隔    区別    距離   
dummy, idiot, fool, doo doo dumb
バカ 愚か    間抜け    バカ面    ボケ あほ
friendship
仲良し    仲間   
human
人類    人情    人間   
instantly
瞬間    一瞬   
mistake
間違え    誤り   
period of time
時期    期間   
plurals
~等    あいつ等    彼等    奴等    達    仲間達    人達    子供達   
society, the world
世界    世の中    世間    社会    地球   
spending time
時間が経つ    時間がかかる?    費やす    時間を過ごす    流れる  "
"question, problem","問 question, problem
門 (gate) Same-ON + 口 (mouth/small box radical)
★★★★★
11 strokes
Onyomi
MON	
Mnemonic
The MONK, standing at the temple gate, asks you a question : (a Zen koan) with his mouth. If you answer wrong, you can't get in.

Kunyomi
と*う	to ask (BOOBOO: only used in a formal situation, where the wrong answer spells trouble: - the police questioned the suspect, the situation calls his authority into question) F
★★☆☆☆
Jukugo
質問しつもん する	
question ★★★★★
質 (quality) + 問 (question, problem) = 質問 (question)

a question - usually used in a structured setting: interview, trial, test.　

BOOBOO: in casual conversation, people will say 尋ねる　or 聞く instead of 質問.

問題もんだい	
problem ★★★★★
問 (question, problem) + 題 (topic) = 問題 (problem)

problem - as in ""environmental pollution"", also as in ""homework problem""

疑問ぎもん	
a doubt　 ★★★☆☆
疑 (doubt) + 問 (question, problem) = 疑問 (a doubt　)

a doubt　（疑問がある＝ I have doubts about it.)

Lookalikes
Meaning	Hint	Radical
門	gate	OPEN	
間	a period of time	DAY	日
問	question, problem	MOUTH	口
Gate has NOTHING IN THE CENTER, IT'S OPEN - so you can walk through it.

There is an interval of one DAY between things, and you ask a question with your MOUTH.

Synonyms
ask question
に聞く    に尋ねる    に問う    に質問する    に伺う   
visit
へ伺う    に参る    を訪ねる    を訪問   "
sword,"刀 sword
★★★☆☆
2 strokes
SOLOPKMRSYMBOLICILL PAIR
刀 is SYMBOLIC about 33% of the time - not just meaning ""sword"" but 'divide' too.
Mutants
	leftsword
	rightsword
Onyomi
Mnemonic
Kunyomi
かたな	samurai sword
★★★☆☆
Jukugo
剃刀かみそり	
a razor ★☆☆☆☆ FP1/2 KANA

Lookalikes
Meaning	Hint	Radical
刀	sword	NO HEAD	
力	strong	HEAD	
九	the number 9	HOOK ON BOTTOM	
""I got the STRENGTH to lift the sword UP OVER MY HEAD .""
She hung suspended from 9 HOOKS in her back.

Used In
切 召 分 剤 罰 判 刊 拐 辺 刺 利 剣 契 割 刷 則 削 帰 剖 制 券 創 剰 刑 解 到 貿 留 列 副 初 劇 刻 刃 別 力  前"
before,"前 before
 (standing worms) + 月 (moon/organ) + 刀 (sword)
★★★★★
9 strokes
Onyomi
ZEN	
ZEN is before NOW. That is a terrible pun but now you won't be able to forget it.

Mnemonic
Cut the standing worms with your sword before the full moon. Otherwise they'll turn into WERE-worms, of which the less said, the better.



Kunyomi
まえ	before; in front of
★★★★★
( この ) まえ	last time (i.e. ""Thanks for helping me last time."")
★★★★★
Jukugo
午前ごぜん	
AM ★★★★★
午 (noon) + 前 (before) = 午前 (AM)

AM , before noon.

名前なまえ	
name ★★★★★ KUNKUN
名 (name, famous) + 前 (before) = 名前 (name)

お前おまえ	
You ★★★★☆

You. Kind of rude -like a father scolding a son. Ruder than 君(きみ) but less rude than コイツ.

建前たてまえ	
The way one behaves in public ★★☆☆☆ CCWKUNKUN
建 (build) + 前 (before) = 建前 (The way one behaves in public)

one's principles, one's public position. (i.e. never drinking tang, being anti-abortion) (as opposed to 本音, one's private feelings)

Synonyms
assumption
期待    予想    前提    先入観   
correct, just
当たり前    当然    適当    正しい    適切    妥当    もっともの 正に   
from now on, since then
以前    以来    以後    以降    きり それから 今後   
name
名前    名____、姓____    名字    氏    氏名    姓名   
proceed
前進    進む   
sign or symptom
兆候    前兆    縁起    直感   "
cut / important,"切 cut / important
 (heel) + 刀 (sword)
★★★★★
4 strokes
JERKDUPE
JERK : by itself it means ""sword,"" but in jukugo, it tends to mean ""important' or ""especially"".
Onyomi
SETSU	
Mnemonic
The samurai SAID TO me, ""I'm fin to cut your heel with this here sword if you don't bow down to the feudal system.""

Kunyomi
( を ) き＊る	I cut the paper
★★★★★
( が ) き＊れる	something is cut off, something breaks. To get your electricity cut off.
★★★☆☆
Jukugo
大切たいせつ な	
important ★★★★★
大 (big) + 切 (cut / important) = 大切 (important)

が 売り切れうりきれ	
sold out ★★★☆☆
売 (sell) + 切 (cut / important) = 売り切れ (sold out)

裏切りうらぎり	
backstab ★★★☆☆
裏 (backside) + 切 (cut / important) = 裏切り (backstab)

backstabbing (verb form:　うらぎる！）

裏切り者うらぎりもの	
traitor ★☆☆☆☆ KUN ON
裏 (backside) + 切 (cut / important) + 者 (professional) = 裏切り者 (traitor)

Synonyms
correct, just
当たり前    当然    適当    正しい    適切    妥当    もっともの 正に   
cut
切    斬    伐る   
important, vital
必要    大切    重大    重要    大事   
kind
親切    優しい   
negotiate
取引    交渉    値切る   
pass
通る    通り過ぎる    通す    渡る    過ぎる    横切る    乗り越える    克服    越える    超える   
ritual suicide
切腹    腹きり   
ticket
切手    切符    チケット"
summon,"召 summon
刀 (sword) + 口 (mouth/small box radical)
★☆☆☆☆
5 strokes
STRONG
Onyomi
SHOU	
When you summon a demon, you yell, ""SHOW yourself!!!""

Mnemonic
I will raise my sword and open my mouth to summon the troops: ""Chaaaarggeee!!""

Kunyomi
め*す	summon (never used by itself! But you need it to say the following jukugo:) NUBI
★☆☆☆☆
Jukugo
召し上がるめしあがる	
let's eat ★★☆☆☆ F
召 (summon) + 上 (above) = 召し上がる (let's eat)

Very polite way to say, ""let's eat"" to a superior person. This sounds like you don't need it, but when you go to a restaurant, YOU, believe it or not, are a superior person, and so you'll need to know this word to understand what the waiter is saying to you.

Used In
超 昭 招 紹"
